"","Name","ID Number","Period","RTNG","Birthdate","Birthplace","Country_of_birth","Latitude","Longitude","Age","Sex","Fed"
"1","Abasov, Nijat",13402960,2021-09-01,2652,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,26.3025325119781,"M","AZE"
"2","Abasov, Nijat",13402960,2021-08-01,2656,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,26.217659137577,"M","AZE"
"3","Abasov, Nijat",13402960,2021-07-01,2656,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,26.1327857631759,"M","AZE"
"4","Abasov, Nijat",13402960,2021-06-01,2665,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,26.0506502395619,"M","AZE"
"5","Abasov, Nijat",13402960,2021-05-01,2665,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.9657768651608,"M","AZE"
"6","Abasov, Nijat",13402960,2021-04-01,2665,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.8836413415469,"M","AZE"
"7","Abasov, Nijat",13402960,2021-03-01,2664,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.7987679671458,"M","AZE"
"8","Abasov, Nijat",13402960,2021-02-01,2664,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.7221081451061,"M","AZE"
"9","Abasov, Nijat",13402960,2021-01-01,2668,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.637234770705,"M","AZE"
"10","Abasov, Nijat",13402960,2020-12-01,2668,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.5523613963039,"M","AZE"
"11","Abasov, Nijat",13402960,2020-11-01,2668,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.4702258726899,"M","AZE"
"12","Abasov, Nijat",13402960,2020-10-01,2664,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.3853524982888,"M","AZE"
"13","Abasov, Nijat",13402960,2020-09-01,2664,1995-05-14,"Baku","Azerbaijan",40.3667,49.8352,25.3032169746749,"M","AZE"
